# Ellingwood's American Materia Medica, Therapeutics and Pharmacognosy (1919)
# Format: COMMON_NAME    Latin binomial ... printed_page
# Printed page = PDF page - 1 (offset=1)
#
ABIES    Abies canadensis ... 1
CATECHU    Acacia catechu ... 2
ACHILLEA    Achillea millefolium ... 2
ACONITE    Aconitum napellus ... 4
ADONIS    Adonis vernalis ... 14
AESCULUS    Aesculus glabra ... 15
AGRIMONY    Agrimonia eupatoria ... 16
TRITICUM    Agropyron repens ... 18
ALETRIS    Aletris farinosa ... 20
ALLIUM    Allium sativum ... 22
ALNUS    Alnus rubra ... 23
ALOES    Aloes socotrina ... 24
ALSTONIA    Alstonia constricta ... 25
ALTHEA    Althea officinalis ... 26
AMYGDALUS    Amygdalus persica ... 27
PULSATILLA    Anemone pulsatilla ... 29
ANEMOPSIS    Anemopsis californica ... 33
APOCYNUM    Apocynum cannabinum ... 36
ARALIA    Aralia hispida ... 45
ARALIA    Aralia racemosa ... 45
LAPPA    Arctium lappa ... 46
SERPENTARIA    Aristolochia serpentaria ... 48
ARNICA    Arnica montana ... 49
SANTONICA    Artemisia pauciflora ... 52
BELLADONNA    Atropa belladonna ... 60
AVENA    Avena sativa ... 71
TOLU    Balsam tolu ... 75
BAPTISIA    Baptisia tinctoria ... 75
BUCHU    Barosma betulina, ... 79
BETULA    Betula alba ... 80
BOLETUS    Boletus laricis ... 80
BRAYERA    Brayera anthelmintica ... 82
BRYONIA    Bryonia alba ... 82
BONDUC    Caesalpinia bonducella ... 87
CALENDULA    Calendula officinalis ... 88
CANNABIS    Cannabis indica ... 89
CAPSELLA    Capsella bursa pastoris ... 92
PAPAYA    Carica papaya ... 97
PETROSELINUM    Carum petroselinum ... 99
SENNA    Cassia acutifolia ... 100
CASTANEA    Castanea vesca ... 102
CAULOPHYLLUM    Caulophyllum thalictroides ... 102
CEANOTHUS    Ceanothus americanus ... 104
CEANOTHUS    Ceanothus thrysiflorus ... 105
IPECAC    Cephaelis ipecacuanha ... 106
CHELIDONIUM    Chelidonium majus ... 113
CHENOPODIUM    Chenopodium ambrosioides ... 115
CHIMAPHILA    Chimaphila umbellata ... 117
CHIONANTHUS    Chionanthus virginica ... 119
CIMICIFUGA    Cimicifuga racemosa ... 121
CINCHONA    Cinchona, Calisaya ... 126
CAMPHOR    Cinnamomum camphora ... 132
CINNAMON    Cinnamomum zeylanicum ... 135
COLOCYNTHIS    Citrullus colocynthis ... 136
LEMON    Lemonis succus.(Citrus limonum) ... 138
COFFEE    Coffea arabica ... 138
KOLA    Cola acuminata ... 139
COLCHICUM    Colchicum autumnale ... 140
COLLINSONIA    Collinsonia canadensis ... 142
MYRRH    Commiphora myrrha ... 146
CONIUM    Conium maculatum ... 148
CONVALLARIA    Convallaria majalis ... 150
CONVOLVULUS    Convolvulus scammonia ... 153
COPAIBA    Copaiba langsdorffii ... 154
CORNUS    Cornus florida ... 155
YOHIMBE    Corynanthe yohimbe ... 156
CRATAEGUS    Crataegus oxyacantha ... 159
CROCUS    Crocus sativus ... 163
CUCURBITA    Cucurbita citrullus ... 164
CYPRIPEDIUM    Cypripedium pubescens ... 164
SCOPARIUS    Cytisus scoparius ... 166
STRAMONIUM    Datura stramonium ... 166
STAPHYSAGRIA    Delphinum staphysagria ... 168
CORYDALIS    Dicentra canadensis ... 170
DIGITALIS    Digitalis purpurea ... 172
DIOSCOREA    Dioscorea villosa ... 175
DUBOISIA    Duboisia myoporoides ... 177
ECHINACEA    Echinacea angustifolia ... 179
EPIGAEA    Epigaea repens ... 193
EPILOBIUM    Epilobium angustifolium ... 194
EQUISETUM    Equisetum hyemale ... 195
ERGOT    Secale cornutum (Claviceps purpurea) ... 196
ERIGERON    Erigeron canadense ... 202
ERIODICTYON    Eriodictyon californicum ... 204
ERYNGIUM    Eryngium aquaticum ... 205
COCA    Erythroxylon coca ... 206
JAMBUL    Syzygium jambolanum ... 207
EUONYMUS    Euonymus atropurpureus ... 209
EUPATORIUM    Eupatorium perfoliatum ... 210
EUPATORIUM    Eupatorium purpureum ... 211
EUPHORBIA    Euphorbia corollata ... 212
PICHI    Fabiana imbricata ... 215
ASAFOETIDA    Ferula foetida ... 216
SUMBUL    Ferula sumbul ... 217
FRANCISCEA    Franciscea uniflora ... 218
FRASERA    Frasera canadensis ... 218
FRAXINUS    Fraxinus americana ... 219
GALIUM    Galium aparine ... 222
GAULTHERIA    Gaultheria procumbens ... 222
GENTIANA    Gentiana lutea ... 235
GERANIUM    Geranium maculatum ... 236
GLYCYRRHIZA    Glycyrrhiza glabra ... 238
CONDURANGO    Gonolobus condurango ... 238
GOSSYPIUM    Gossypium herbaceum ... 239
GUAIACUM    Guaiacum officinale ... 242
HAMAMELIS    Hamamelis virginica ... 243
HAPLOPAPPUS    Haplopappus laricifolius ... 245
HELLEBORUS    Helleborus niger ... 246
HERACLEUM    Heracleum lanatum ... 247
HUMULUS    Humulus lupulus ... 249
HYDRANGEA    Hydrangea arborescens ... 251
HYDRASTIS    Hydrastis canadensis ... 253
HYGROPHILIA    Hygrophilia spinosa ... 258
HYOSCYAMUS    Hyoscyamus niger ... 259
HYPERICUM    Hypericum perforatum ... 261
IBERIS    Iberis amara ... 262
JALAP    Ipomea jalapa ... 264
CALUMBA    Jateorrhiza palmata ... 267
JUGLANS    Juglans cinerea ... 268
JUNIPER    Juniperus communis ... 270
KALMIA    Kalmia latifolia ... 271
LEONURUS    Leonurus cardiaca ... 272
LIPPIA    Lippia mexicana ... 274
ANHALONIUM    Lophophora williamsii ... 286
LYCOPUS    Lycopus virginica ... 289
MAGNOLIA    Magnolia glauca ... 291
BERBERIS    Berberis aquifolium ... 291
MALLOTUS    Mallotus philippinensis ... 294
